,strain directions varied from [001] to [011] (angle),e1 irrep magnitudes for strain between [001] and [111],e2 irrep magnitudes for strain between [001] and [111],e3 irrep magnitudes for strain between [001] and [111],e4 irrep magnitudes for strain between [001] and [111],e5 irrep magnitudes for strain between [001] and [111],e6 irrep magnitudes for strain between [001] and [111]
0,0,-0.012449275529750843,-0.007489454139262016,0.012972115090158687,-0.0,0.0,-0.07438409724518057
1,1,-0.012447924253487827,-0.007484296848335391,0.012963182400244359,-0.0013517432202824402,-0.001376858307682124,-0.07435984964605451
2,2,-0.012441203251254206,-0.007481264180563338,0.012957929665580686,-0.0027042605982959644,-0.0027544844744432874,-0.07427021132940195
3,3,-0.012432328709995485,-0.00745780079816625,0.012917289895151512,-0.004056138978002656,-0.004131232005290082,-0.07414743813096694
4,4,-0.012420270691480583,-0.007425570627431448,0.012861465601902372,-0.00540778936479665,-0.005507470037512608,-0.07397392276587021
5,5,-0.012404375210760597,-0.007383013540245217,0.012787754564673367,-0.0067589144435637296,-0.006882780594422043,-0.07375268133472565
6,6,-0.012385763457556945,-0.007329450159059627,0.012694980067035217,-0.008109071513991976,-0.008256594800493478,-0.07348330413442675
7,7,-0.01236353435781207,-0.007268145959547688,0.012588798078763043,-0.009458895126863,-0.009629524748639451,-0.0731611403785148
8,8,-0.012341019167220578,-0.007185332401717623,0.01244536078904567,-0.010803910681171142,-0.010996566776061258,-0.07280486809306223
9,9,-0.012312910855065551,-0.007102452260273311,0.012301808173125628,-0.012150499483920333,-0.01236465064994418,-0.07238455676130166
10,10,-0.012281922228678622,-0.007008786981705602,0.012139575151741105,-0.013495250805702868,-0.013729943889755314,-0.07191435679472896
11,11,-0.012248982579841156,-0.006903965316773748,0.01195801870234533,-0.0148375713676079,-0.015091722399063784,-0.07139338695253215
12,12,-0.012213038404772728,-0.006787951166995714,0.011757076300533027,-0.01617723275690336,-0.01644964247981175,-0.07082232743665702
13,13,-0.01217481798391078,-0.006660439889276252,0.01153622028898458,-0.01751360356184377,-0.017802939642746603,-0.07020035423219077
14,14,-0.012134823052208235,-0.006520724935840275,0.011294226891056506,-0.018845781501827464,-0.01915055267012894,-0.06952762004136363
15,15,-0.012093105771481979,-0.006368621633068174,0.011030776242656038,-0.02017311020499469,-0.02049168907044786,-0.0688038578543313
16,16,-0.012049291594890774,-0.006204178275996646,0.010745951993241274,-0.021495129213466118,-0.021825767266430565,-0.068028801081168
17,17,-0.012004995731686218,-0.006026206659264283,0.010437696110755488,-0.022810102190192093,-0.023150843388136205,-0.06720245286101953
18,18,-0.011959358444329072,-0.0058345818519319696,0.010105792208465482,-0.024117356735972637,-0.024466105357838455,-0.06632548369539298
19,19,-0.011913251737709366,-0.005628712061296953,0.00974921527134191,-0.025415419197117557,-0.0257699008921939,-0.06539774193993368
20,20,-0.011866874661591973,-0.005408523151379065,0.009367836892100762,-0.026703238503379145,-0.027061037725629896,-0.06441883684644933
21,21,-0.011820486337464195,-0.005174400818256584,0.008962325115946218,-0.027980078469324626,-0.028338678266989683,-0.06338740086410287
22,22,-0.011768737911607529,-0.004936642019727713,0.008550514796947524,-0.02925574073343988,-0.02961338018383276,-0.06228610053445575
23,23,-0.01169904334161012,-0.004662989123853847,0.008076534077655946,-0.030505028664327374,-0.030857174676179593,-0.06119494459849368
24,24,-0.011669533369219191,-0.004387362332329259,0.0075991344708078515,-0.031737804512688046,-0.03208244085437169,-0.059987507633495925
25,25,-0.011632866933500638,-0.004086311274616042,0.00707769874317621,-0.03294578987949836,-0.033278905439305735,-0.058759855255366894
26,26,-0.011608562164149003,-0.00375392353980449,0.0065019862986698705,-0.03411282382717937,-0.03442959192980151,-0.05751104774605494
27,27,-0.011570860355400376,-0.0034245960915611153,0.005931574425985492,-0.035283222843912186,-0.0355820282800777,-0.05618255650461639
28,28,-0.011533251044617592,-0.003077496697520878,0.005330380640231588,-0.036428948279175935,-0.03670610241259684,-0.0548116876038633
29,29,-0.01150062765180057,-0.0027122962517997,0.004697834913295551,-0.03754555616991483,-0.037797227569782314,-0.05339653425094209
30,30,-0.011472873934185732,-0.002328468763293347,0.004033026201860988,-0.03863008394757601,-0.038852307429874985,-0.051940349176935026
31,31,-0.011448975009200925,-0.0019260274441383672,0.0033359773900195223,-0.039680485353520825,-0.039869233796054164,-0.050445981681148236
32,32,-0.011429471142270107,-0.0015047721809253378,0.0026063418711789114,-0.04069360842542482,-0.0408447853036789,-0.048916032195605634
33,33,-0.011414459488893011,-0.0010649335977066074,0.0018445190979146453,-0.04166691595059043,-0.041776422814554945,-0.047352621312579564
34,34,-0.011404427194593692,-0.0006063576154154097,0.0010502421974557985,-0.0425969744951208,-0.04266069345983928,-0.0457591669793908
35,35,-0.011398377639069517,-0.00013838776857318455,0.00023969464631452516,-0.04349569370305713,-0.043510537208251106,-0.04410997291195482
